step,cx,cy,cz,ex,ey,ez,peak_x,peak_y,peak_z,n_core_points,omega_x,omega_y,omega_z
146,-14.9,-25.1,-9.9,11.5,11.5,21.5,-29,-8,22,4,0.0033469242030352286,0.0018148624782953768,0.004198031953675255
147,-10.8,-47.9,-9.2,13.5,31.5,21.5,-10,-31,-21,9,0.0035957482360163113,0.003786918673135866,-0.011403325894583954
148,-21.7,-3.4,5.0,9.5,61.0,21.5,-29,-8,22,5,-0.0020144745844958138,3.1523933023403915e-05,-0.00437445829318695
149,-29.0,1.2,22.0,0.0,51.0,0.0,-29,-43,22,3,0.012122254512670698,0.008561504471440511,0.002627569985321188
150,-29.0,24.7,22.0,0.0,33.5,0.0,-29,-8,22,2,0.006766076251945333,0.009904068236002409,-0.004293129722072728
151,-29.0,-25.1,22.0,0.0,17.5,0.0,-29,-8,22,2,-0.0028669663452512194,-0.00032162191725849883,0.0035663773986503145
152,-29.0,-8.0,22.0,0.0,0.0,0.0,-29,-8,22,1,0.023221824318170547,-0.03925644978880882,-0.007135782390832901
153,-29.0,31.8,9.1,0.0,41.5,13.5,-29,-8,22,2,-0.0015424447854395953,0.001644128814894617,0.004257002514936601
154,-29.0,32.2,8.9,0.0,41.5,13.5,-29,-8,22,2,-0.0009119800236309026,0.0012945057555582475,0.0038869096973130654
155,-29.0,-8.0,22.0,0.0,0.0,0.0,-29,-8,22,1,0.019040841609239578,-0.046464625746011734,-0.00800618901848793
156,-29.0,-8.0,22.0,0.0,0.0,0.0,-29,-8,22,1,0.020455993711948395,-0.046895019710063934,-0.008001348935067654
157,-29.0,-8.0,22.0,0.0,0.0,0.0,-29,-8,22,1,0.019792716950178146,-0.04738535359501839,-0.006779947318136692
158,-29.0,-25.3,22.0,0.0,17.5,0.0,-29,-8,22,2,-0.002206913185555371,0.0004419192999819083,0.0030087050467129933
159,-29.0,-8.0,22.0,0.0,0.0,0.0,-29,-8,22,1,0.018858764320611954,-0.05124834552407265,-0.006548004224896431
160,-29.0,-8.0,22.0,0.0,0.0,0.0,-29,-8,22,1,0.018464531749486923,-0.05206584185361862,-0.008554118685424328
161,-29.0,-8.0,22.0,0.0,0.0,0.0,-29,-8,22,1,0.013499144464731216,-0.050012145191431046,-0.008086630143225193
162,-29.0,28.5,-0.7,0.0,67.0,21.5,-29,75,-5,5,-0.005423640932574021,-0.022005664823816006,0.008429628690728901
163,-29.0,4.5,-1.5,0.0,67.0,21.5,-29,75,-5,3,0.0011865443113891181,-0.0004877962111787809,0.0043830231536855
164,-29.0,75.0,-5.0,0.0,0.0,0.0,-29,75,-5,1,-0.006986115127801895,0.01744030974805355,-0.04949487745761871
165,-29.0,75.0,-5.0,0.0,0.0,0.0,-29,75,-5,1,-0.009396184235811234,0.017775315791368484,-0.05235478654503822
166,-27.6,75.0,-5.0,1.5,0.0,0.0,-29,75,-5,2,-0.012819037115085263,0.016767310446368557,-0.04904800576491993
167,-27.6,75.0,-5.0,1.5,0.0,0.0,-29,75,-5,2,-0.010210043900397035,0.018804845289621154,-0.049327959410230965
168,-29.0,71.2,7.9,0.0,4.0,13.5,-29,75,-5,2,-0.006934431027955243,0.0030551594388385575,-0.012405717483697929
169,-29.0,75.0,-5.0,0.0,0.0,0.0,-29,75,-5,1,-0.00845247507095337,0.020652348175644875,-0.056166429072618484
170,-29.0,75.0,-5.0,0.0,0.0,0.0,-29,75,-5,1,-0.004124633967876434,0.021249298006296158,-0.055921539664268494
171,-29.0,75.0,-5.0,0.0,0.0,0.0,-29,75,-5,1,-0.004836682230234146,0.020609000697731972,-0.05845881998538971
172,-29.0,75.0,-5.0,0.0,0.0,0.0,-29,75,-5,1,-0.002415221184492111,0.01935938373208046,-0.05782138556241989
173,-29.0,75.0,-5.0,0.0,0.0,0.0,-29,75,-5,1,-0.00447198748588562,0.01871739700436592,-0.05804040655493736
174,-27.6,75.0,-5.0,1.5,0.0,0.0,-29,75,-5,2,-0.0034069293412029448,0.018442531785341096,-0.05741551046241809
175,-29.0,75.0,-5.0,0.0,0.0,0.0,-29,75,-5,1,-0.006057575345039368,0.019223954528570175,-0.0602695494890213
176,-27.6,75.0,-5.0,1.5,0.0,0.0,-29,75,-5,2,-0.0047679842948104454,0.018309476566244237,-0.057103187887218396
177,-29.0,75.0,-5.0,0.0,0.0,0.0,-29,75,-5,1,-0.005229834467172623,0.018777409568428993,-0.06472135335206985
178,-29.0,75.0,-5.0,0.0,0.0,0.0,-29,75,-5,1,0.0007865540683269501,0.015611357055604458,-0.06092756986618042
179,-27.6,75.0,-5.0,1.5,0.0,0.0,-29,75,-5,2,0.006089520967536133,0.01455011230335031,-0.060263893320790206
180,-27.6,75.0,-5.0,1.5,0.0,0.0,-29,75,-5,2,0.008162765768041265,0.014521970241500592,-0.06078653967641719
181,-28.0,31.7,-10.2,1.5,67.0,8.0,-29,75,-5,3,-0.0012413292892429384,-0.0018270483516249771,0.008635737085166642
182,-28.0,29.8,-10.4,1.5,67.0,8.0,-29,75,-5,3,-0.0006379337424333719,-0.001666154276312661,-0.0022870120428009626
183,-27.6,75.0,-5.0,1.5,0.0,0.0,-29,75,-5,2,0.0027467591073632495,0.01728106679553375,-0.058002277885535664
184,-27.6,75.0,-5.0,1.5,0.0,0.0,-29,75,-5,2,-0.0024274064563428598,0.01714140083225239,-0.05693960105844481
185,-27.6,75.0,-5.0,1.5,0.0,0.0,-29,75,-5,2,-0.003513451172710718,0.016225199654454705,-0.05623149439965671
186,-27.6,75.0,-5.0,1.5,0.0,0.0,-29,75,-5,2,-0.0018586514267132457,0.017138603967304183,-0.06224111453018237
187,-27.6,75.0,-5.0,1.5,0.0,0.0,-29,75,-5,2,0.003829136110757884,0.018753385636111865,-0.0643894181073838
188,-27.6,75.0,-5.0,1.5,0.0,0.0,-29,75,-5,2,0.002523819732842112,0.017525277775125164,-0.06209509531677657
189,-27.6,75.0,-5.0,1.5,0.0,0.0,-29,75,-5,2,-0.0018921917793042256,0.015783813222328642,-0.0611139729774397
190,-27.5,75.0,-5.0,1.5,0.0,0.0,-29,75,-5,2,0.000968119567264478,0.016410608233616668,-0.06094711569733702
191,-25.8,75.0,-5.0,3.5,0.0,0.0,-29,75,-5,3,0.0008045794047000286,0.01614073010144637,-0.05809265050473915
192,-26.2,21.7,10.4,3.5,59.0,13.5,-29,-43,22,7,0.0021131782121808695,-0.00894965862572596,0.01561196541483776
193,-26.9,67.0,0.9,3.5,8.0,13.5,-29,59,-1,6,-0.00720299286468422,-0.025125976520029188,0.004910818337171495
194,-26.4,22.7,-2.8,3.5,67.0,21.5,-29,59,22,10,0.0023249412210485923,0.010300678947131959,0.0033406979013297935
195,-26.2,32.3,-1.3,3.5,67.0,21.5,-29,75,-5,8,0.0014699051971699452,-0.01081525798983479,0.029286233399636978
196,-27.0,16.0,10.5,3.5,59.0,13.5,-26,-43,22,8,-0.004452757503673136,0.008581381956952667,-0.012690612354154142
197,-27.4,-8.6,-7.5,3.5,67.0,21.5,-26,-59,-21,12,0.009128377819191737,-0.010443256342522137,0.016894132024546336
198,-27.2,-16.7,-7.9,3.5,59.0,21.5,-26,-59,-21,11,-0.001724509080833353,0.0028697300971303793,-0.01086727562943432
199,-25.2,-36.4,-11.1,2.0,43.0,11.5,-26,-59,-21,5,0.002306898395356365,-0.002864332807168759,-0.005409741819938484
200,-25.3,-47.6,2.8,3.5,8.0,21.5,-26,-43,22,7,-0.005020429919679717,-0.003543665994173057,0.005309859204005227
201,-24.6,-6.7,-4.4,5.5,67.0,11.5,-26,-59,-21,13,0.0033853716402847734,-0.003287673752823011,0.003210561194866137
202,-22.5,36.8,-0.0,7.5,67.0,21.5,-22,75,-5,12,-0.001290072448619628,0.003992314230482991,0.004447162369437303
203,-25.0,50.1,3.9,5.5,37.5,13.5,-29,0,22,6,0.0010103005028112171,0.0011753574468828397,0.0007891221699693283
204,-24.3,44.4,6.0,5.5,37.5,13.5,-29,0,22,5,-0.002574194361657397,0.001888195559932854,0.006316322553114523
205,-23.6,57.1,1.4,5.5,37.5,13.5,-22,75,-5,4,-0.002726662238676345,-0.0005777685742231906,0.011305510412246443
206,-20.8,25.3,6.4,6.0,59.0,13.5,-22,75,-5,7,0.004157046564801915,0.0005635618851593195,0.01641967714956224
207,-20.0,75.0,-5.0,6.0,0.0,0.0,-22,75,-5,4,-0.015208208115871225,0.014189267974480398,-0.054836343479393375
208,-19.9,75.0,-5.0,6.0,0.0,0.0,-18,75,-5,4,-0.010922936055708352,0.01571548343231442,-0.05662271114961687
209,-20.0,75.0,-5.0,6.0,0.0,0.0,-18,75,-5,4,-0.008577226015611339,0.01680549612943394,-0.058917975670757815
210,-18.0,75.0,-5.0,4.0,0.0,0.0,-18,75,-5,3,-0.007763367362727903,0.01607644875372843,-0.057343549274657395
211,-19.9,75.0,-5.0,6.0,0.0,0.0,-18,75,-5,4,-0.005839564099006864,0.017352313171220657,-0.05596048158130812
212,-19.9,75.0,-5.0,6.0,0.0,0.0,-18,75,-5,4,-0.012961533759856626,0.01733557468632197,-0.05823719759894457
213,-16.1,75.0,-5.0,6.0,0.0,0.0,-18,75,-5,4,-0.019718223116934764,0.014319929017851203,-0.0570033867300139
214,-18.5,75.0,-8.0,9.5,0.0,8.0,-18,75,-5,5,0.008091760579251647,0.004173557138655636,-0.0022877963355108586
215,-18.4,54.5,-4.5,9.5,37.5,11.5,-14,75,-5,8,0.0005830917967942796,0.008594842843914933,0.001167417901006913
216,-17.3,48.3,-4.0,9.5,37.5,11.5,-14,75,-5,9,0.001365204226147208,0.0009305568988266858,0.005016859739435282
217,-15.1,38.4,-4.0,11.5,37.5,11.5,-14,75,-5,14,-0.0009522642722967301,-0.002953398065720019,0.001111399248321987
218,-13.9,-43.0,22.0,4.0,0.0,0.0,-14,-43,22,3,-0.019994394435203438,-0.054923426892036345,-0.014604065508731518
219,-16.6,1.2,9.1,11.5,59.0,21.5,-14,-43,22,13,0.007627420288273456,0.0021097436318104302,-0.014417434773007104
220,-17.3,0.0,15.5,8.0,0.0,10.0,-18,0,22,6,0.009174262073090043,0.00491767545542906,0.001687633168062903
221,-18.5,21.5,7.0,9.5,37.5,21.5,-18,0,22,7,6.467757759078593e-05,-0.0026921358398764262,0.016895293383849246
222,-19.6,23.9,8.3,9.5,37.5,21.5,-14,0,22,6,-0.0007281965428643447,-9.446534464401988e-05,0.022251443673033167
223,-14.0,0.0,22.0,4.0,0.0,0.0,-14,0,22,3,-0.023720412805188145,0.051160892535706284,0.008433042081324138
224,-11.2,-18.1,22.0,6.0,21.5,0.0,-14,0,22,7,0.0016011578354002331,0.0038414639232457544,0.0008391785346810926
225,-11.6,-8.2,22.0,6.0,21.5,0.0,-10,0,22,5,-0.02650091353930559,-0.024144072205560554,-0.005346711379318168
226,-13.9,14.5,13.7,8.0,37.5,21.5,-10,0,22,5,-0.0034512968148558525,0.007266921723264072,-0.004434396745116579
227,-12.0,0.0,22.0,6.0,0.0,0.0,-14,0,22,4,-0.03285245014229291,0.05168237416452289,0.007540164775135908
228,-14.5,24.2,8.1,8.0,37.5,21.5,-10,0,22,6,-0.0029274451774082186,0.0005212435451408463,0.0186795157906895
229,-11.9,24.5,8.0,10.0,37.5,21.5,-10,0,22,6,-0.003808693262764699,0.0004001468203070707,0.017123717411205042
230,-8.6,24.0,10.8,8.0,37.5,21.5,-6,0,22,6,-0.003929041309083643,2.3032890230113492e-05,0.013011634127430716
