Input,Target,Status,MSE,wx2,wy2,wz2
Raw,Raw,Self-Consistency (Artifact),6.918197356913657e-35,0.49999999999999883,0.5000000000000003,0.5000000000000008
Raw,Encoded,Physical Validation (Real),3.433842147559208e-10,0.1597181960146248,0.32197461540469036,0.0
Raw,Predicted,Physical Validation (Real),5.150014228973017e-10,0.10570284629648496,0.0,0.0
Encoded,Raw,Physical Validation (Real),3.4489243628406765e-10,0.16366660720670465,0.28647932277131544,0.0
Encoded,Encoded,Self-Consistency (Artifact),2.1654127021953362e-35,0.5000000000000004,0.4999999999999989,0.49999999999999967
Encoded,Predicted,Physical Validation (Real),5.272065171608748e-10,0.0,0.0,0.0
Predicted,Raw,Physical Validation (Real),3.890014073972836e-10,0.032106625524620624,0.0,0.0
Predicted,Encoded,Physical Validation (Real),3.8739840535813504e-10,0.0,0.0,0.0
Predicted,Predicted,Self-Consistency (Artifact),2.7364446543805515e-39,0.5000000000000004,0.5000000000000012,0.5
