Scenario,MSE,1,wx,wy,wz,wx^2,wy^2,wz^2,wx wy,wx wz,wy wz
Raw,9.460722556776302e-35,2.6433494634520155e-18,-1.4901110903232797e-16,-7.271976005873865e-17,-3.8785571060630455e-15,0.4999999999999987,0.5000000000000006,0.49999999999999994,-9.965683016196158e-17,7.51037827339487e-17,3.492784818316043e-17
Raw (Smoothed),1.2338378385301522e-36,1.1086198314757907e-18,-5.079611062068411e-18,2.492000974604478e-17,-3.9420259860064646e-17,0.4999999999999997,0.5000000000000001,0.49999999999999983,1.335527408522929e-16,-2.107935940403511e-16,-5.130682387226255e-16
Encoded,2.155367546213481e-35,4.631633677879996e-18,-2.4305176750469882e-17,1.2318107654989178e-17,-8.140357603499488e-18,0.500000000000001,0.49999999999999917,0.5000000000000002,2.313845836988075e-16,-8.385308850080624e-17,-1.0141135648505824e-17
Encoded (Smoothed),3.6213713429692998e-37,5.799499387853875e-19,1.0353451311479307e-16,1.1755108514807229e-17,8.727462107713901e-17,0.49999999999999967,0.49999999999999994,0.49999999999999944,6.578862527084512e-16,3.143807737243349e-16,2.763728210467747e-16
Predicted,4.888869475884416e-36,1.9712945875057337e-18,1.574371068018406e-16,8.249525400087599e-16,-5.283489367833084e-17,0.49999999999999967,0.4999999999999994,0.5,-1.0089494365707728e-16,-2.6956108918587093e-16,5.572711612760634e-17
Predicted (Smoothed),3.1206260506677526e-36,1.5252079729318893e-18,2.735689394852199e-16,-4.42038905637355e-16,2.645856971143447e-16,0.4999999999999997,0.49999999999999895,0.5000000000000004,-1.7899288318949008e-15,5.243405690433196e-16,8.32953580960479e-16
