vx,vy,vz,px,py,pz,distance,x,y,z,time
0.25,0.09090909090909102,-0.3684210526315788,-0.4334470989761091,-0.07839999999999996,-0.08168120539254556,-1.0,-117.0,87.0,-33.0,303.0
0.5,0.2727272727272729,-0.3684210526315788,-0.4334470989761091,0.04640000000000005,-0.02616970658207765,-1.0,-121.0,83.0,-33.0,303.0
0.25,-0.09090909090909083,0.7894736842105265,-0.3219567690557451,-0.6944,0.9318001586042824,-1.0,121.0,83.0,-33.0,303.0
0.75,0.2727272727272729,-0.3684210526315788,-0.2992036405005688,0.19200000000000006,0.04837430610626495,-1.0,-125.0,75.0,-33.0,303.0
0.5,-0.45454545454545453,-0.263157894736842,-0.8748577929465301,-0.7968000000000001,0.015067406819984225,-1.0,-125.0,-76.0,-33.0,303.0
-1.0,-0.6363636363636364,0.15789473684210542,0.13310580204778166,0.011200000000000043,0.6336241078509122,-1.0,121.0,-83.0,-33.0,303.0
0.75,0.09090909090909102,-0.263157894736842,-0.46530147895335605,0.02720000000000003,-0.08643933386201424,-1.0,-121.0,83.0,-29.0,303.0
0.25,0.09090909090909102,1.0000000000000002,-0.25142207053469845,-0.7056,0.8096748612212532,-1.0,125.0,79.0,-29.0,303.0
0.5,-0.2727272727272727,-0.4736842105263157,-0.9522184300341296,-0.6863999999999999,-0.44488501189532115,-1.0,-121.0,-83.0,-29.0,303.0
-0.75,-0.8181818181818182,0.26315789473684226,0.1649601820250286,-0.039999999999999966,0.6367961934972246,-1.0,121.0,-83.0,-29.0,303.0
1.0,0.09090909090909102,-0.1578947368421051,-0.4835039817974971,0.11200000000000004,-0.05947660586835837,-1.0,-125.0,79.0,-25.0,303.0
0.25,0.09090909090909102,1.0000000000000002,-0.3720136518771331,-0.6352,0.7605075337034101,-1.0,125.0,79.0,-25.0,303.0
0.75,-0.45454545454545453,-0.263157894736842,-0.8202502844141069,-0.5871999999999999,-0.5543219666931007,-1.0,-125.0,-80.0,-25.0,303.0
-1.0,-0.8181818181818182,0.26315789473684226,0.24914675767918093,-0.13599999999999995,0.5844567803330691,-1.0,125.0,-80.0,-25.0,303.0
0.25,0.2727272727272729,0.8947368421052633,-0.4175199089874857,-0.5264,0.9952418715305316,-1.0,121.0,87.0,-21.0,303.0
0.75,-0.45454545454545453,-0.263157894736842,-0.7337883959044368,-0.47519999999999996,-0.7034099920697858,-1.0,-125.0,-80.0,-21.0,303.0
0.75,-0.09090909090909083,0.052631578947368585,-0.5927189988623435,-0.10559999999999997,-0.1229183187946074,-1.0,-121.0,87.0,-17.0,303.0
0.25,0.2727272727272729,0.8947368421052633,-0.4698521046643913,-0.3887999999999999,1.0,-1.0,121.0,87.0,-17.0,303.0
0.75,-0.09090909090909083,0.15789473684210542,-0.5881683731513082,-0.16319999999999996,-0.10705789056304515,-1.0,-121.0,87.0,-13.0,303.0
0.25,0.4545454545454547,1.0000000000000002,-0.6177474402730375,-0.22399999999999998,0.8318794607454403,-1.0,125.0,83.0,-13.0,303.0
1.0,0.09090909090909102,0.26315789473684226,-0.6040955631399317,-0.15519999999999998,-0.04361617763679615,-1.0,-125.0,83.0,-9.0,303.0
0.5,0.6363636363636366,0.8947368421052633,-0.6382252559726962,-0.08799999999999997,0.8160190325138781,-1.0,125.0,83.0,-9.0,303.0
-0.75,-1.0,0.3684210526315792,0.08987485779294668,-0.29599999999999993,0.6050753370341,-1.0,125.0,-83.0,-9.0,303.0
0.75,0.09090909090909102,0.3684210526315792,-0.5858930602957906,-0.23359999999999997,-0.06582077716098328,-1.0,-125.0,83.0,-5.0,303.0
0.5,0.6363636363636366,0.8947368421052633,-0.6313993174061433,0.030400000000000038,0.787470261697066,-1.0,125.0,83.0,-5.0,303.0
0.0,-0.8181818181818182,-0.3684210526315788,-0.22639362912400446,-0.08319999999999997,-1.0,-1.0,-125.0,-83.0,-5.0,303.0
-0.5,-1.0,0.3684210526315792,0.07849829351535842,-0.3104,0.5701823949246632,-1.0,125.0,-83.0,-5.0,303.0
0.5,0.2727272727272729,0.47368421052631593,-0.5699658703071672,-0.30879999999999996,-0.12450436161776363,-1.0,-125.0,83.0,-1.0,303.0
0.75,0.8181818181818183,0.8947368421052633,-0.6018202502844141,0.12320000000000003,0.7446471054718479,-1.0,125.0,83.0,-1.0,303.0
0.0,-0.8181818181818182,-0.4736842105263157,-0.08077360637087588,0.02720000000000003,-0.971451229183188,-1.0,-125.0,-83.0,-1.0,303.0
-0.5,-0.8181818181818182,0.3684210526315792,0.09442548350398194,-0.31679999999999997,0.5368754956383823,-1.0,125.0,-83.0,-1.0,303.0
0.25,0.4545454545454547,0.47368421052631593,-0.5722411831626848,-0.3776,-0.21173671689135604,-1.0,-125.0,83.0,3.0,303.0
0.75,0.8181818181818183,0.7894736842105265,-0.5540386803185438,0.19040000000000007,0.68913560666138,-1.0,125.0,83.0,3.0,303.0
0.0,-0.8181818181818182,-0.4736842105263157,0.062571103526735,0.14240000000000003,-0.9333862014274386,-1.0,-125.0,-83.0,3.0,303.0
-0.5,-0.8181818181818182,0.26315789473684226,0.13083048919226403,-0.31679999999999997,0.5035685963521017,-1.0,125.0,-83.0,3.0,303.0
0.0,0.6363636363636366,0.47368421052631593,-0.6018202502844141,-0.43679999999999997,-0.30055511498810467,-1.0,-125.0,83.0,7.0,303.0
0.75,0.8181818181818183,0.7894736842105265,-0.4971558589306029,0.23680000000000007,0.6304520222045997,-1.0,125.0,83.0,7.0,303.0
-0.25,-0.6363636363636364,0.26315789473684226,0.18316268486916953,-0.3136,0.4702616970658209,-1.0,125.0,-83.0,7.0,303.0
-0.25,0.8181818181818183,0.47368421052631593,-0.6541524459613196,-0.48479999999999995,-0.3687549563838223,-1.0,-125.0,83.0,11.0,303.0
0.75,0.8181818181818183,0.6842105263157896,-0.4448236632536973,0.26400000000000007,0.576526566217288,-1.0,125.0,83.0,11.0,303.0
-0.25,-0.45454545454545453,0.15789473684210542,0.23549488054607526,-0.31199999999999994,0.4337827121332277,-1.0,125.0,-83.0,11.0,303.0
