epoch,dis_loss,gen_loss,dis_accuracy,dis_recall,dis_precision,gen_mse,time
1,13.3951,13.1246,0.4549,0.5222,0.8062,31.0401,"03/23/2023, 16:05:38"
2,12.4385,11.8908,0.4723,0.5665,0.7564,24.7598,"03/23/2023, 16:07:07"
3,11.3584,8.7321,0.4902,0.6242,0.7017,0.4619,"03/23/2023, 16:08:37"
4,11.0708,7.9406,0.4906,0.6294,0.6969,0.549,"03/23/2023, 16:10:07"
5,11.0111,7.2278,0.4925,0.6432,0.684,0.7161,"03/23/2023, 16:11:38"
6,10.7253,6.4736,0.4964,0.6645,0.6673,0.8741,"03/23/2023, 16:13:08"
7,10.4882,6.0031,0.4956,0.6731,0.6567,0.9947,"03/23/2023, 16:14:38"
8,10.4332,5.182,0.4925,0.6944,0.633,0.5314,"03/23/2023, 16:16:08"
9,10.3609,5.0382,0.494,0.6788,0.6493,0.5145,"03/23/2023, 16:17:38"
10,10.2507,4.8219,0.4947,0.6701,0.6579,0.5227,"03/23/2023, 16:19:07"
11,10.2218,4.3927,0.4924,0.6837,0.6423,0.4734,"03/23/2023, 16:20:36"
12,10.1641,4.0988,0.4937,0.6651,0.6624,0.3853,"03/23/2023, 16:22:05"
13,10.0721,3.7327,0.494,0.6742,0.6528,0.3217,"03/23/2023, 16:23:34"
14,10.1082,3.378,0.4929,0.6725,0.6544,0.2446,"03/23/2023, 16:25:04"
15,10.0613,3.1933,0.4909,0.6546,0.6691,0.2125,"03/23/2023, 16:26:34"
16,10.0425,2.9677,0.4937,0.654,0.6752,0.1974,"03/23/2023, 16:28:03"
17,10.021,2.6524,0.4918,0.655,0.6712,0.1599,"03/23/2023, 16:29:34"
18,10.0061,2.4183,0.4909,0.6568,0.6685,0.1295,"03/23/2023, 16:31:04"
19,9.9889,2.3826,0.4912,0.6639,0.6629,0.1451,"03/23/2023, 16:32:34"
20,9.9737,2.3753,0.4927,0.6703,0.66,0.1581,"03/23/2023, 16:34:03"
21,9.9556,2.378,0.4933,0.6684,0.6636,0.1733,"03/23/2023, 16:35:33"
22,9.9417,2.3008,0.493,0.6736,0.6593,0.1983,"03/23/2023, 16:37:03"
23,9.9202,2.1492,0.4933,0.6683,0.6666,0.2086,"03/23/2023, 16:38:33"
24,9.9332,2.3434,0.4974,0.6551,0.6918,0.2789,"03/23/2023, 16:40:03"
25,9.9139,2.6263,0.5005,0.6617,0.695,0.4681,"03/23/2023, 16:41:32"
26,9.8578,3.1659,0.521,0.6476,0.7392,0.8947,"03/23/2023, 16:43:02"
27,9.8379,3.4022,0.5298,0.6659,0.7276,0.7419,"03/23/2023, 16:44:30"
28,9.7862,3.0158,0.5281,0.6674,0.7241,0.4828,"03/23/2023, 16:45:59"
29,9.7634,2.5254,0.538,0.6801,0.7283,0.2841,"03/23/2023, 16:47:29"
30,9.6829,2.4663,0.5531,0.6903,0.743,0.2461,"03/23/2023, 16:48:59"
31,9.532,2.2353,0.5843,0.6931,0.7969,0.1946,"03/23/2023, 16:50:29"
32,9.461,2.3893,0.5118,0.663,0.7168,0.2912,"03/23/2023, 16:51:58"
33,9.101,1.7187,0.5251,0.6906,0.7084,0.1678,"03/23/2023, 16:53:29"
34,8.656,1.9066,0.5614,0.7252,0.7318,0.1429,"03/23/2023, 16:54:59"
35,7.7838,2.0239,0.5282,0.7206,0.6834,0.072,"03/23/2023, 16:56:30"
36,6.252,1.8298,0.5062,0.7089,0.6611,0.0532,"03/23/2023, 16:58:00"
37,4.4745,1.2138,0.4859,0.7072,0.6275,0.0227,"03/23/2023, 16:59:30"
38,8.3386,2.518,0.5251,0.7077,0.6996,0.4372,"03/23/2023, 17:01:00"
39,2.6574,1.2,0.4853,0.7328,0.6026,0.0424,"03/23/2023, 17:02:30"
40,3.031,1.3287,0.4839,0.7335,0.6047,0.0424,"03/23/2023, 17:03:59"
