epoch,dis_loss,gen_loss,dis_accuracy,dis_recall,dis_precision,gen_mse,time
1,0.0482,0.0243,0.5363,0.7267,0.671,0.1078,"02/05/2023, 15:16:37"
2,0.047,0.024,0.5162,0.8482,0.6072,0.1078,"02/05/2023, 15:16:44"
3,0.0482,0.0247,0.2438,0.3611,0.5994,0.1099,"02/05/2023, 15:16:52"
4,0.0386,0.0253,0.6893,0.9348,0.7336,0.1056,"02/05/2023, 15:16:58"
5,0.0311,0.0287,0.9337,0.9491,0.983,0.105,"02/05/2023, 15:17:05"
