epoch,dis_loss,gen_loss,dis_accuracy,dis_recall,dis_precision,gen_mse,time
1,0.0484,0.0238,0.0017,0.0017,0.0535,0.106,"02/16/2023, 12:44:38"
2,0.0486,0.0242,0.0,0.0,0.0,0.1039,"02/16/2023, 12:44:44"
3,0.0486,0.0243,0.0,0.0,0.0,0.1041,"02/16/2023, 12:44:50"
4,0.0486,0.0243,0.0,0.0,0.0,0.1041,"02/16/2023, 12:44:57"
5,0.0486,0.0243,0.0,0.0,0.0,0.1041,"02/16/2023, 12:45:03"
6,0.0486,0.0243,0.0,0.0,0.0,0.1041,"02/16/2023, 12:45:09"
7,0.0486,0.0243,0.0,0.0,0.0,0.1042,"02/16/2023, 12:45:15"
8,0.0486,0.0243,0.0,0.0,0.0,0.1041,"02/16/2023, 12:45:21"
9,0.0486,0.0243,0.0,0.0,0.0,0.1041,"02/16/2023, 12:45:27"
10,0.0486,0.0243,0.0,0.0,0.0,0.1041,"02/16/2023, 12:45:33"
11,0.0486,0.0243,0.0,0.0,0.0,0.1042,"02/16/2023, 12:45:39"
12,0.0486,0.0243,0.0,0.0,0.0,0.1041,"02/16/2023, 12:45:45"
13,0.0486,0.0243,0.0,0.0,0.0,0.1042,"02/16/2023, 12:45:51"
14,0.0486,0.0243,0.0,0.0,0.0,0.1041,"02/16/2023, 12:45:57"
15,0.0486,0.0243,0.0,0.0,0.0,0.1041,"02/16/2023, 12:46:03"
16,0.0486,0.0243,0.0,0.0,0.0,0.1041,"02/16/2023, 12:46:09"
17,0.0486,0.0243,0.0,0.0,0.0,0.1042,"02/16/2023, 12:46:15"
18,0.0486,0.0243,0.0,0.0,0.0,0.1041,"02/16/2023, 12:46:22"
19,0.0486,0.0243,0.0,0.0,0.0,0.1041,"02/16/2023, 12:46:28"
20,0.0486,0.0243,0.0,0.0,0.0,0.1041,"02/16/2023, 12:46:34"
21,0.0486,0.0243,0.0,0.0,0.0,0.1041,"02/16/2023, 12:46:40"
22,0.0486,0.0243,0.0,0.0,0.0,0.1041,"02/16/2023, 12:46:46"
23,0.0486,0.0243,0.0,0.0,0.0,0.1041,"02/16/2023, 12:46:52"
24,0.0486,0.0243,0.0,0.0,0.0,0.1041,"02/16/2023, 12:46:58"
25,0.0486,0.0243,0.0,0.0,0.0,0.1042,"02/16/2023, 12:47:04"
26,0.0486,0.0243,0.0,0.0,0.0,0.1042,"02/16/2023, 12:47:10"
27,0.0486,0.0243,0.0,0.0,0.0,0.1041,"02/16/2023, 12:47:16"
28,0.0486,0.0243,0.0,0.0,0.0,0.1041,"02/16/2023, 12:47:22"
29,0.0486,0.0243,0.0,0.0,0.0,0.1041,"02/16/2023, 12:47:29"
30,0.0486,0.0243,0.0,0.0,0.0,0.1041,"02/16/2023, 12:47:35"
31,0.0486,0.0243,0.0,0.0,0.0,0.1041,"02/16/2023, 12:47:41"
32,0.0486,0.0243,0.0,0.0,0.0,0.1041,"02/16/2023, 12:47:47"
33,0.0486,0.0243,0.0,0.0,0.0,0.1041,"02/16/2023, 12:47:53"
34,0.0486,0.0243,0.0,0.0,0.0,0.1041,"02/16/2023, 12:47:59"
35,0.0486,0.0243,0.0,0.0,0.0,0.1041,"02/16/2023, 12:48:05"
36,0.0486,0.0243,0.0,0.0,0.0,0.1041,"02/16/2023, 12:48:11"
37,0.0486,0.0243,0.0,0.0,0.0,0.1041,"02/16/2023, 12:48:17"
38,0.0486,0.0243,0.0,0.0,0.0,0.1041,"02/16/2023, 12:48:23"
39,0.0486,0.0243,0.0,0.0,0.0,0.1041,"02/16/2023, 12:48:29"
40,0.0486,0.0243,0.0,0.0,0.0,0.1041,"02/16/2023, 12:48:35"
