epoch,dis_loss,gen_loss,dis_accuracy,dis_recall,dis_precision,gen_mse,time
1,0.0247,0.0149,0.0152,0.0695,0.0163,0.1075,"02/16/2023, 12:17:04"
2,0.023,0.0142,0.0,0.0,0.0,0.1042,"02/16/2023, 12:17:10"
3,0.0232,0.0142,0.0,0.0,0.0,0.1042,"02/16/2023, 12:17:17"
4,0.0236,0.0144,0.0,0.0,0.0,0.1041,"02/16/2023, 12:17:23"
5,0.0241,0.0147,0.0,0.0,0.0,0.1041,"02/16/2023, 12:17:29"
6,0.0247,0.015,0.0,0.0,0.0,0.1041,"02/16/2023, 12:17:35"
7,0.0255,0.0154,0.0,0.0,0.0,0.1041,"02/16/2023, 12:17:42"
8,0.0265,0.0159,0.0,0.0,0.0,0.1041,"02/16/2023, 12:17:48"
9,0.0269,0.0161,0.0,0.0,0.0,0.1041,"02/16/2023, 12:17:54"
10,0.0269,0.0161,0.0,0.0,0.0,0.1041,"02/16/2023, 12:18:00"
11,0.0268,0.016,0.0,0.0,0.0,0.1041,"02/16/2023, 12:18:07"
12,0.0268,0.016,0.0,0.0,0.0,0.1041,"02/16/2023, 12:18:13"
13,0.0268,0.016,0.0,0.0,0.0,0.1041,"02/16/2023, 12:18:19"
14,0.0268,0.016,0.0,0.0,0.0,0.1041,"02/16/2023, 12:18:25"
15,0.0268,0.016,0.0,0.0,0.0,0.1041,"02/16/2023, 12:18:32"
16,0.0268,0.016,0.0,0.0,0.0,0.1041,"02/16/2023, 12:18:38"
17,0.0268,0.016,0.0,0.0,0.0,0.1041,"02/16/2023, 12:18:44"
18,0.0268,0.016,0.0,0.0,0.0,0.1041,"02/16/2023, 12:18:50"
19,0.0268,0.016,0.0,0.0,0.0,0.1041,"02/16/2023, 12:18:56"
20,0.0268,0.016,0.0,0.0,0.0,0.1041,"02/16/2023, 12:19:03"
21,0.0268,0.016,0.0,0.0,0.0,0.1041,"02/16/2023, 12:19:09"
22,0.0268,0.016,0.0,0.0,0.0,0.1041,"02/16/2023, 12:19:15"
23,0.0268,0.016,0.0,0.0,0.0,0.1041,"02/16/2023, 12:19:21"
24,0.0268,0.016,0.0,0.0,0.0,0.1041,"02/16/2023, 12:19:28"
25,0.0268,0.016,0.0,0.0,0.0,0.1041,"02/16/2023, 12:19:34"
26,0.0268,0.016,0.0,0.0,0.0,0.1042,"02/16/2023, 12:19:40"
27,0.0268,0.016,0.0,0.0,0.0,0.1041,"02/16/2023, 12:19:46"
28,0.0268,0.016,0.0,0.0,0.0,0.1041,"02/16/2023, 12:19:53"
29,0.0268,0.016,0.0,0.0,0.0,0.1041,"02/16/2023, 12:19:59"
30,0.0268,0.016,0.0,0.0,0.0,0.1042,"02/16/2023, 12:20:05"
31,0.0268,0.016,0.0,0.0,0.0,0.1042,"02/16/2023, 12:20:11"
32,0.0268,0.016,0.0,0.0,0.0,0.1042,"02/16/2023, 12:20:18"
33,0.0268,0.016,0.0,0.0,0.0,0.1041,"02/16/2023, 12:20:24"
34,0.0268,0.016,0.0,0.0,0.0,0.1042,"02/16/2023, 12:20:30"
35,0.0268,0.016,0.0,0.0,0.0,0.1041,"02/16/2023, 12:20:37"
36,0.0268,0.016,0.0,0.0,0.0,0.1041,"02/16/2023, 12:20:43"
37,0.0268,0.016,0.0,0.0,0.0,0.1041,"02/16/2023, 12:20:49"
38,0.0268,0.016,0.0,0.0,0.0,0.1041,"02/16/2023, 12:20:55"
39,0.0268,0.016,0.0,0.0,0.0,0.1042,"02/16/2023, 12:21:01"
40,0.0268,0.016,0.0,0.0,0.0,0.1042,"02/16/2023, 12:21:08"
