lag,mean,ci_low,ci_high,event_122,event_175,event_228,event_292,event_315,event_346,event_370,event_394,event_433,event_470,event_507,event_586,event_663,event_835,event_870,event_889,event_904,event_962
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.9788897175857674,0.9387664887272407,0.9965177716212034,0.96058537689461,,0.999709766654775,0.9991944269884199,0.9969996984973728,0.9940622502549581,0.9991503063063515,0.9998642018071716,0.9884647740985566,0.7788096384508449,0.9997663785964891,0.9946270042944738,0.9582032637523248,0.9940637042299711,0.9988826234784823,0.9998771539269103,0.9999749131405682,
2,0.776495488918984,0.5406351126793626,0.986873277553357,0.46264974846404916,,0.9995431329067666,0.03852275974829816,0.9904994479628213,0.9709901123385916,0.9954341705774141,0.9970435417271435,0.9918918308824123,0.9860117046253136,-0.6873669210792983,0.999036892375598,0.9074812929889547,,0.9990273133439475,0.9966911691288763,0.9999761377938713,
3,0.8424174183737393,0.5969482585999882,0.9838748119149059,0.8497681705139,,0.9996049589992553,0.9990412884643161,0.9577685682832557,,0.9942568101817788,0.9933661384269749,0.9632468059975285,0.9362338504286242,-0.919212005564424,0.9832765902786542,0.8889922458752875,0.9996150067350377,0.9986272686771867,0.9920453840499653,0.9996301942587498,
4,0.8245153715153479,0.6213966859956218,0.9572900385298946,0.814044917315545,,0.9981350440651343,0.9990760410390579,0.9602102845860294,-0.03131038037498202,0.9895868321613841,0.9914065987622116,0.9448296771693048,,0.02633383415965629,0.9891089953202414,0.7150153142901632,0.9988661078531905,0.9977680622714744,0.9753530489324684,0.9993061951793382,
5,0.8726826025129563,0.7242491194567182,0.9733474247523666,,,0.9998300074361106,0.9995926306434111,0.8470563167341109,0.8040383646424989,,0.9880894867813969,0.9515082413331359,,0.09436259892584198,0.9924457513175943,0.8197941929364694,0.9982945873298849,0.9969033958998691,0.980275656175152,,
6,0.9589776042543101,0.9271439224193245,0.9811011842901339,0.9279186488530555,,0.9983040834932376,0.9996946124336545,0.9147209069054678,0.9549234134240075,,0.9936526714192694,0.9313555880854212,,0.9661647666657162,,0.841157853708318,0.9975140879481545,0.9995487659297534,0.9827758521856641,,
7,0.8824286652157912,0.7212148923867263,0.9898044561407111,0.7240153912947432,,0.9726660544090335,0.9992952301669819,,0.9910407670324899,,,0.8648863906624975,0.9877884314170106,0.9926604801471546,0.9966005956720408,0.08848475425788965,0.9927771204584626,0.9998939075516329,0.9790348595195576,,
8,0.8020845720049188,0.4441112169411047,0.9880345049651676,0.9920924191169154,,,0.9996998313404235,,0.9951389397903636,,,0.9359076432548147,0.9446164985478618,0.9898130248965926,0.9319430170779935,-0.9449833784414696,0.996958114101601,0.9993176895895077,0.9824264927795031,,
9,0.5249962535755726,0.10210844477766463,0.8753522935175561,0.0038959526688253088,,,0.9992203376234827,,0.051791482848978276,,,0.9502610014250337,0.9670636651338389,-0.9677564918536905,0.9870390171576323,0.7404431336411046,,,0.993008183534948,,
10,0.5644438397831312,0.25043752494377236,0.8482646869864084,-0.046131403735234944,,,0.9972961411619021,0.9524688038682191,-0.3544513369512993,,,0.818681019980519,0.9827591919935245,,0.47553194862773607,0.6893963533196831,,,,,
11,0.8366216324197008,0.6894375076235805,0.9693517584888858,0.5189894902612423,,,0.9968456938466006,,0.997640362436327,,,0.8302530110913735,0.9225207098884196,,,0.7534805269942428,,,,,
12,0.2532890768165182,-0.35006360475496207,0.7927976706260613,-0.378883870935236,,,,,,,,0.7013440709777673,0.7857384946147439,,-0.9511853151914557,0.36794854406761296,0.994772537365677,,,,
13,0.24252648977130978,-0.09793695310563143,0.7533210644423318,0.250040910965083,,,,,0.25742262499384255,,,0.04891353269433585,-0.6153012192198856,,0.9933290733352577,-0.23251570750964706,0.9957962131401821,,,,
14,0.4054764535445743,-0.1747585055311447,0.85738462261906,,,,,0.7317343171553572,0.6862238835091621,,,-0.10026508910091865,,,0.996379535995008,-0.876533443159164,0.9953195168680014,,,,
15,0.3259097269537766,-0.4028870188966269,0.9421937719861411,,,,,,,,,-0.2807292260966772,0.9298945340294066,,0.9113376970945225,-0.9008754176470533,,0.9699210473886847,,,
