position,x,y,z,rmse_vx,rmse_vy,rmse_vz,sample_count,mean_vx,mean_vy,mean_vz
"(-58, -24, 11)",-58,-24,11,0.0046490123,0.010292869,0.009346034,125,0.6165694,0.46324882,0.43120834
"(-54, -24, 11)",-54,-24,11,0.005523681,0.007471941,0.008463805,125,0.61054265,0.45217177,0.42985347
"(-50, -24, 11)",-50,-24,11,0.006853289,0.004969356,0.0072233607,125,0.6068955,0.4449163,0.4289191
"(-46, -24, 11)",-46,-24,11,0.0077295904,0.00407535,0.006208931,125,0.60492134,0.43887916,0.42910528
"(-42, -24, 11)",-42,-24,11,0.0076119225,0.006187497,0.006237206,125,0.60294336,0.4300016,0.43057367
"(-38, -24, 11)",-38,-24,11,0.007201831,0.009301863,0.006928935,125,0.5988188,0.415534,0.43278047
"(-34, -24, 11)",-34,-24,11,0.0075260745,0.010101999,0.0070620286,125,0.59000653,0.39459822,0.4343597
"(-30, -24, 11)",-30,-24,11,0.00908443,0.00903845,0.0065043457,125,0.5758648,0.37110573,0.43395117
"(-26, -24, 11)",-26,-24,11,0.012502172,0.008479593,0.0069344663,125,0.55713063,0.35145894,0.43100366
"(-22, -24, 11)",-22,-24,11,0.014786739,0.01208739,0.00864384,125,0.53492063,0.34154984,0.4250811
"(-18, -24, 11)",-18,-24,11,0.0150941145,0.016793549,0.010663504,125,0.51282144,0.34597787,0.41697216
"(-14, -24, 11)",-14,-24,11,0.015149366,0.018794982,0.013274973,125,0.49519882,0.36482853,0.40848047
"(-10, -24, 11)",-10,-24,11,0.013934245,0.018271955,0.01582989,125,0.48445258,0.3934481,0.40128595
"(-6, -24, 11)",-6,-24,11,0.01240569,0.016198441,0.017098688,125,0.48256624,0.42623368,0.397018
"(-2, -24, 11)",-2,-24,11,0.01202434,0.013236562,0.01679986,125,0.48934472,0.45729792,0.39639127
"(2, -24, 11)",2,-24,11,0.011757,0.009996479,0.014916961,125,0.5034001,0.48013288,0.39860573
"(6, -24, 11)",6,-24,11,0.011204936,0.008399033,0.0122259855,125,0.52169365,0.4906857,0.40266898
"(10, -24, 11)",10,-24,11,0.010330501,0.007924699,0.009376114,125,0.53982013,0.4899747,0.40725756
"(14, -24, 11)",14,-24,11,0.009102441,0.0067631127,0.0071108653,125,0.55519795,0.48217607,0.41125253
"(18, -24, 11)",18,-24,11,0.007914842,0.006004537,0.0060382434,125,0.56633896,0.47201768,0.41447294
"(22, -24, 11)",22,-24,11,0.0065750205,0.0067329584,0.00611123,125,0.5740257,0.46343678,0.41770348
"(25, -24, 11)",25,-24,11,0.0054918607,0.00645272,0.0072394395,125,0.57928586,0.45654467,0.4214502
"(29, -24, 11)",29,-24,11,0.00480108,0.005087231,0.008777057,125,0.5834471,0.4496636,0.42606372
"(33, -24, 11)",33,-24,11,0.0045128902,0.0035812636,0.009639265,125,0.58701324,0.44156232,0.4313999
"(37, -24, 11)",37,-24,11,0.0043737628,0.0028131772,0.009274158,125,0.5899756,0.43228307,0.43665102
"(41, -24, 11)",41,-24,11,0.0044709253,0.003347706,0.00810508,125,0.59209883,0.42339253,0.44069767
"(45, -24, 11)",45,-24,11,0.004922795,0.0055198334,0.0076716803,125,0.59293884,0.4165463,0.44241154
"(49, -24, 11)",49,-24,11,0.005619419,0.008574867,0.009264619,125,0.5920283,0.41274536,0.44110483
"(53, -24, 11)",53,-24,11,0.0061054216,0.011110753,0.012136927,125,0.5888988,0.41182634,0.43656108
"(57, -24, 11)",57,-24,11,0.006023122,0.012121009,0.014675556,125,0.5832325,0.41309202,0.42913586
"(61, -24, 11)",61,-24,11,0.0054552546,0.011353041,0.015552219,125,0.57528913,0.4149265,0.4199621
"(65, -24, 11)",65,-24,11,0.0046230517,0.009118099,0.014587714,125,0.5659266,0.41563547,0.41045457
"(69, -24, 11)",69,-24,11,0.0043590497,0.006386813,0.012310468,125,0.5563811,0.4140746,0.4018774
"(73, -24, 11)",73,-24,11,0.0054656775,0.0054084077,0.009716012,125,0.5475793,0.4105793,0.39541078
"(77, -24, 11)",77,-24,11,0.0072625233,0.0076844143,0.008825691,125,0.53988636,0.4071452,0.39167747
"(81, -24, 11)",81,-24,11,0.008793934,0.010972634,0.009950612,125,0.5331769,0.40625966,0.3903577
"(85, -24, 11)",85,-24,11,0.00975031,0.013545883,0.012136251,125,0.5277685,0.40958443,0.39125326
"(89, -24, 11)",89,-24,11,0.010409252,0.014215871,0.014490095,125,0.5242532,0.4170755,0.3940359
"(93, -24, 11)",93,-24,11,0.01110788,0.012933224,0.016661353,125,0.52343464,0.42706543,0.39845788
"(97, -24, 11)",97,-24,11,0.011703928,0.010762582,0.01835161,125,0.5258094,0.43724853,0.40443933
"(101, -24, 11)",101,-24,11,0.012395699,0.009399118,0.019521182,125,0.53150284,0.44504175,0.4120469
"(105, -24, 11)",105,-24,11,0.012937874,0.009376148,0.019975321,125,0.54009163,0.44921875,0.4210976
"(109, -24, 11)",109,-24,11,0.012891752,0.009883896,0.01881657,100,0.5487154,0.4500132,0.4266943
"(113, -24, 11)",113,-24,11,0.013234208,0.00953255,0.016966201,75,0.5574635,0.44860342,0.43237782
"(117, -24, 11)",117,-24,11,0.013750991,0.008342399,0.01475313,50,0.56546795,0.4459151,0.4375211
"(121, -24, 11)",121,-24,11,0.014195266,0.0068458426,0.011878916,25,0.57227904,0.4432413,0.44190225
