file,rows,cols,mae_mean_norm,mae_p95_norm,rmse_mean_norm,rmse_global_norm,mae_mean_raw,mae_median_raw,mae_std_raw,mae_p95_raw,rmse_mean_raw,rmse_median_raw,rmse_std_raw,rmse_p95_raw,rmse_global_raw,max_abs_err_raw,path
0438.pkl.gz,26448,375,0.0004168654850218445,0.0007660227711312473,0.0005438107764348388,0.0006037655250770971,0.00019231838814448565,0.0001810725952964276,9.390580089529976e-05,0.00035340001340955496,0.0002508838369976729,0.0002369656867813319,0.00012101174797862768,0.0004593286430463195,0.0002785436208948923,0.0047801584005355835,/Users/kkreth/PycharmProjects/data/Final_Cubed_OG_Data_wLatent/5p2/0438.pkl.gz
0466.pkl.gz,26448,375,0.0006732760230079293,0.001207961468026042,0.0008782654185779393,0.0009545764828218568,0.00031061185291036963,0.0002899563987739384,0.0001349376398138702,0.0005572858499363065,0.0004051824507769197,0.00037976718158461154,0.00017253631085623056,0.0007182833505794406,0.00044038806178856537,0.007038824260234833,/Users/kkreth/PycharmProjects/data/Final_Cubed_OG_Data_wLatent/8p4/0466.pkl.gz
0825.pkl.gz,26448,375,0.0004629959585145116,0.0008769729756750166,0.0006021724548190832,0.0006700575275099708,0.00021360040409490466,0.00019090759451501071,0.0001059474452631548,0.0004045862297061831,0.00027780866366811097,0.0002503693103790283,0.00013558004866354167,0.0005211958196014166,0.00030912724918391723,0.003534198272973299,/Users/kkreth/PycharmProjects/data/Final_Cubed_OG_Data_wLatent/6p6/0825.pkl.gz
0780.pkl.gz,26448,375,0.0003939511370845139,0.0007214481011033058,0.0005128967459313571,0.0005648625987844763,0.00018174698925577104,0.00017521977133583277,8.442703983746469e-05,0.00033283577067777514,0.00023662185412831604,0.0002279214677400887,0.00010918051702901721,0.00043289136374369264,0.00026059600589739177,0.0035045696422457695,/Users/kkreth/PycharmProjects/data/Final_Cubed_OG_Data_wLatent/5p2/0780.pkl.gz
0575.pkl.gz,26448,375,0.00038680335273966193,0.0007413834100589156,0.0005051160114817321,0.0005640465858947237,0.00017844939429778606,0.0001691929646767676,8.841474482323974e-05,0.0003420328430365771,0.0002330322313355282,0.00022081346833147109,0.0001158021914307028,0.0004489238781388849,0.00026021943486939815,0.004588358104228973,/Users/kkreth/PycharmProjects/data/Final_Cubed_OG_Data_wLatent/5p2/0575.pkl.gz
0902.pkl.gz,26448,375,0.0006042869645170867,0.0010900855995714664,0.0007880823686718941,0.0008561313728088231,0.00027878416585735977,0.0002625943743623793,0.00011977823305642232,0.0005029044696129858,0.0003635770408436656,0.0003426650073379278,0.00015431725478265435,0.0006527684163302183,0.00039497110395244684,0.005280021578073502,/Users/kkreth/PycharmProjects/data/Final_Cubed_OG_Data_wLatent/7p2/0902.pkl.gz
0645.pkl.gz,26448,375,0.0006374984513968229,0.0012250770814716816,0.0008331278222613037,0.0009283155514722663,0.0002941061102319509,0.00025521498173475266,0.0001466153480578214,0.0005651820101775229,0.0003843585145659745,0.00033491954673081636,0.00018890771025326103,0.000734507804736495,0.0004282730396680912,0.0050987303256988525,/Users/kkreth/PycharmProjects/data/Final_Cubed_OG_Data_wLatent/11p4/0645.pkl.gz
0299.pkl.gz,26448,375,0.0003312432090751827,0.0006814877269789577,0.0004310047661419958,0.0004818169323398871,0.00015281708328984678,0.0001427209936082363,7.713253580732271e-05,0.0003144002112094313,0.00019884147332049906,0.00018564063066150993,9.935805428540334e-05,0.0004062741354573518,0.0002222834939568725,0.0034361258149147034,/Users/kkreth/PycharmProjects/data/Final_Cubed_OG_Data_wLatent/4p6/0299.pkl.gz
0774.pkl.gz,26448,375,0.0006705918349325657,0.0013264324516057968,0.0008763603982515633,0.0009811362828027726,0.00030937351402826607,0.0002725874073803425,0.000157817717990838,0.000611941737588495,0.00040430360240861773,0.0003578195464797318,0.000203525458346121,0.0007928518461994827,0.0004526410945374168,0.00629686564207077,/Users/kkreth/PycharmProjects/data/Final_Cubed_OG_Data_wLatent/11p4/0774.pkl.gz
0149.pkl.gz,26448,375,0.0006415671086870134,0.001198410289362073,0.0008365498506464064,0.0009184576862037286,0.0002959831617772579,0.00027791771572083235,0.00013622958795167506,0.0005528794135898352,0.0003859373100567609,0.0003640881914179772,0.00017491467588115484,0.000713156710844487,0.0004237247369992844,0.00572268757969141,/Users/kkreth/PycharmProjects/data/Final_Cubed_OG_Data_wLatent/7p2/0149.pkl.gz
