mass_A
t	x	y
0.000000000E0	4.895674490E1	6.978606246E1
1.666666667E-2	4.896331194E1	6.956129922E1
3.333333333E-2	4.895651139E1	6.930921121E1
5.000000000E-2	4.895270790E1	6.903932920E1
6.666666667E-2	4.896247621E1	6.878948854E1
8.333333333E-2	4.896159950E1	6.847957460E1
1.000000000E-1	4.896167729E1	6.815813371E1
1.166666667E-1	4.896360107E1	6.783017541E1
1.333333333E-1	4.896878117E1	6.746274804E1
1.500000000E-1	4.895681714E1	6.707279127E1
1.666666667E-1	4.896199980E1	6.672207118E1
1.833333333E-1	4.895730323E1	6.632164069E1
2.000000000E-1	4.896377137E1	6.591468361E1
2.166666667E-1	4.896034690E1	6.546321491E1
2.333333333E-1	4.897347870E1	6.505196030E1
2.500000000E-1	4.896824265E1	6.461716800E1
2.666666667E-1	4.896573378E1	6.414694853E1
2.833333333E-1	4.896687064E1	6.366736257E1
3.000000000E-1	4.896677342E1	6.317921007E1
3.166666667E-1	4.896936573E1	6.269049236E1
3.333333333E-1	4.897481336E1	6.218777630E1
3.500000000E-1	4.897476581E1	6.170078879E1
3.666666667E-1	4.896844298E1	6.112925523E1
3.833333333E-1	4.897142733E1	6.060103109E1
4.000000000E-1	4.898200094E1	6.007549747E1
4.166666667E-1	4.897287159E1	5.951805631E1
4.333333333E-1	4.897840227E1	5.898693954E1
4.500000000E-1	4.897507670E1	5.840031729E1
4.666666667E-1	4.898688683E1	5.784944571E1
4.833333333E-1	4.898157215E1	5.726285381E1
5.000000000E-1	4.899556296E1	5.672284825E1
5.166666667E-1	4.898885514E1	5.612061867E1
5.333333333E-1	4.900740534E1	5.557374844E1
5.500000000E-1	4.899349318E1	5.498040676E1
5.666666667E-1	4.901816182E1	5.443566205E1
5.833333333E-1	4.901213320E1	5.383739176E1
6.000000000E-1	4.900439712E1	5.323706683E1
6.166666667E-1	4.902808634E1	5.268716693E1
6.333333333E-1	4.900761454E1	5.209488501E1
6.500000000E-1	4.904813882E1	5.155761364E1
6.666666667E-1	4.905207345E1	5.096202508E1
6.833333333E-1	4.907258525E1	5.042293214E1
7.000000000E-1	4.905715086E1	4.985711459E1
7.166666667E-1	4.907942139E1	4.931153836E1
7.333333333E-1	4.907228245E1	4.873894732E1
7.500000000E-1	4.908707188E1	4.820250820E1
7.666666667E-1	4.909515420E1	4.768851771E1
7.833333333E-1	4.910708782E1	4.716112133E1
8.000000000E-1	4.909228099E1	4.661611318E1
8.166666667E-1	4.909901914E1	4.611390207E1
8.333333333E-1	4.910608677E1	4.562208151E1
8.500000000E-1	4.910553158E1	4.514143882E1
8.666666667E-1	4.910943749E1	4.466729389E1
8.833333333E-1	4.910748550E1	4.418732566E1
9.000000000E-1	4.910774207E1	4.372093293E1
9.166666667E-1	4.911920504E1	4.329804822E1
9.333333333E-1	4.911357059E1	4.287770915E1
9.500000000E-1	4.910842031E1	4.245682019E1
9.666666667E-1	4.911640607E1	4.206118283E1
9.833333333E-1	4.910835827E1	4.165038536E1
1.000000000E0	4.911818466E1	4.127633469E1
1.016666667E0	4.912145417E1	4.093001943E1
1.033333333E0	4.912351705E1	4.060379354E1
1.050000000E0	4.912369896E1	4.027996534E1
1.066666667E0	4.912329552E1	3.996577788E1
1.083333333E0	4.912248680E1	3.965669109E1
1.100000000E0	4.912062765E1	3.936629656E1
1.116666667E0	4.912930886E1	3.912472520E1
1.133333333E0	4.912313776E1	3.886679809E1
1.150000000E0	4.912833815E1	3.864756969E1
1.166666667E0	4.911720472E1	3.844867027E1
1.183333333E0	4.911956651E1	3.824245410E1
1.200000000E0	4.911919197E1	3.807760836E1
1.216666667E0	4.911999621E1	3.790836856E1
1.233333333E0	4.911958261E1	3.776940457E1
1.250000000E0	4.911914950E1	3.764193424E1
1.266666667E0	4.912451604E1	3.754573077E1
1.283333333E0	4.911972976E1	3.744285781E1
1.300000000E0	4.912482109E1	3.737713512E1
