mass_A
t	x	y
0.000000000E0	4.875000985E1	5.780728269E1
1.666666667E-2	4.874924853E1	5.840859609E1
3.333333333E-2	4.874284550E1	5.896390479E1
5.000000000E-2	4.874532388E1	5.957610493E1
6.666666667E-2	4.873730685E1	6.012233497E1
8.333333333E-2	4.874480380E1	6.069490727E1
1.000000000E-1	4.873880977E1	6.120630926E1
1.166666667E-1	4.874637640E1	6.176531481E1
1.333333333E-1	4.874121956E1	6.228187820E1
1.500000000E-1	4.874144966E1	6.277071922E1
1.666666667E-1	4.873599628E1	6.323555737E1
1.833333333E-1	4.871793943E1	6.366906634E1
2.000000000E-1	4.872893957E1	6.410922418E1
2.166666667E-1	4.873107986E1	6.455692987E1
2.333333333E-1	4.871960332E1	6.492718446E1
2.500000000E-1	4.872744058E1	6.532072007E1
2.666666667E-1	4.872533689E1	6.567472478E1
2.833333333E-1	4.872535110E1	6.600664076E1
3.000000000E-1	4.872645389E1	6.632716587E1
3.166666667E-1	4.872639110E1	6.659832662E1
3.333333333E-1	4.871464951E1	6.684521717E1
3.500000000E-1	4.872390389E1	6.710264159E1
3.666666667E-1	4.871881786E1	6.730363856E1
3.833333333E-1	4.871968777E1	6.746608619E1
4.000000000E-1	4.872166873E1	6.762636545E1
4.166666667E-1	4.872740714E1	6.775419030E1
4.333333333E-1	4.871433376E1	6.782022614E1
4.500000000E-1	4.872639018E1	6.792817779E1
4.666666667E-1	4.872321695E1	6.794990195E1
4.833333333E-1	4.872437870E1	6.795529107E1
5.000000000E-1	4.872516544E1	6.795423277E1
5.166666667E-1	4.872983872E1	6.793837185E1
5.333333333E-1	4.872161371E1	6.783812336E1
5.500000000E-1	4.873119737E1	6.777482538E1
5.666666667E-1	4.872955165E1	6.763376424E1
5.833333333E-1	4.873031516E1	6.748004710E1
6.000000000E-1	4.873155680E1	6.731830272E1
6.166666667E-1	4.873885580E1	6.712843949E1
6.333333333E-1	4.872684373E1	6.686339521E1
6.500000000E-1	4.873849667E1	6.664435398E1
6.666666667E-1	4.873973551E1	6.634553821E1
6.833333333E-1	4.873872601E1	6.602422959E1
7.000000000E-1	4.873884379E1	6.570163197E1
7.166666667E-1	4.874224753E1	6.537025110E1
7.333333333E-1	4.874670796E1	6.499856166E1
7.500000000E-1	4.874191527E1	6.458672606E1
7.666666667E-1	4.875012200E1	6.417188922E1
7.833333333E-1	4.875225541E1	6.374061270E1
8.000000000E-1	4.875019651E1	6.327620287E1
8.166666667E-1	4.875066500E1	6.279560382E1
8.333333333E-1	4.875292939E1	6.231221984E1
8.500000000E-1	4.875498439E1	6.181587780E1
8.666666667E-1	4.875078710E1	6.123119819E1
8.833333333E-1	4.875442603E1	6.070563203E1
9.000000000E-1	4.876265693E1	6.017566969E1
9.166666667E-1	4.875551628E1	5.959243812E1
9.333333333E-1	4.875566333E1	5.899733840E1
9.500000000E-1	4.877377527E1	5.842339349E1
9.666666667E-1	4.876567276E1	5.780936312E1
9.833333333E-1	4.876443726E1	5.720148269E1
1.000000000E0	4.876764729E1	5.657721145E1
1.016666667E0	4.879003208E1	5.595732132E1
1.033333333E0	4.878199625E1	5.537321803E1
1.050000000E0	4.877966683E1	5.473449252E1
1.066666667E0	4.878289478E1	5.409356566E1
1.083333333E0	4.878481864E1	5.345735399E1
1.100000000E0	4.878168434E1	5.282460315E1
1.116666667E0	4.878740879E1	5.218988002E1
1.133333333E0	4.878465548E1	5.155109016E1
1.150000000E0	4.878678039E1	5.095113492E1
1.166666667E0	4.881269310E1	5.036204128E1
