mass_A
t	x	y
0.000000000E0	4.895674490E1	3.643722324E1
1.666666667E-2	4.895564687E1	3.660841239E1
3.333333333E-2	4.895197726E1	3.681117038E1
5.000000000E-2	4.895826303E1	3.705549800E1
6.666666667E-2	4.895455076E1	3.725295988E1
8.333333333E-2	4.895714680E1	3.751137681E1
1.000000000E-1	4.895342437E1	3.773774062E1
1.166666667E-1	4.895564158E1	3.802590062E1
1.333333333E-1	4.895648390E1	3.829620929E1
1.500000000E-1	4.894908425E1	3.856339792E1
1.666666667E-1	4.894784557E1	3.886485359E1
1.833333333E-1	4.894963579E1	3.918103419E1
2.000000000E-1	4.894912075E1	3.950311151E1
2.166666667E-1	4.894765082E1	3.983158655E1
2.333333333E-1	4.894362383E1	4.017053111E1
2.500000000E-1	4.894040281E1	4.052802256E1
2.666666667E-1	4.895024012E1	4.090765139E1
2.833333333E-1	4.894633691E1	4.126471593E1
3.000000000E-1	4.894129904E1	4.163180354E1
3.166666667E-1	4.894653628E1	4.204699964E1
3.333333333E-1	4.893989984E1	4.242319280E1
3.500000000E-1	4.894566633E1	4.285663639E1
3.666666667E-1	4.893621098E1	4.323822300E1
3.833333333E-1	4.894239907E1	4.367217207E1
4.000000000E-1	4.893168588E1	4.408386018E1
4.166666667E-1	4.893751463E1	4.450222437E1
4.333333333E-1	4.894178513E1	4.496783074E1
4.500000000E-1	4.894268057E1	4.540207101E1
4.666666667E-1	4.893214881E1	4.583443637E1
4.833333333E-1	4.893551605E1	4.628141643E1
5.000000000E-1	4.893430035E1	4.674690833E1
5.166666667E-1	4.893502696E1	4.721807906E1
5.333333333E-1	4.893233295E1	4.768652439E1
5.500000000E-1	4.893758920E1	4.815054102E1
5.666666667E-1	4.892295050E1	4.858371948E1
5.833333333E-1	4.892433146E1	4.904904890E1
6.000000000E-1	4.892630813E1	4.952472363E1
6.166666667E-1	4.892648748E1	4.999465900E1
6.333333333E-1	4.892908810E1	5.046542065E1
6.500000000E-1	4.893115997E1	5.093120273E1
6.666666667E-1	4.892901552E1	5.140492288E1
6.833333333E-1	4.893105354E1	5.188305182E1
7.000000000E-1	4.893085879E1	5.235493694E1
7.166666667E-1	4.893307066E1	5.282275459E1
7.333333333E-1	4.891753471E1	5.325650054E1
7.500000000E-1	4.892118705E1	5.370809016E1
7.666666667E-1	4.892664655E1	5.416554694E1
7.833333333E-1	4.892489593E1	5.463112558E1
8.000000000E-1	4.892592813E1	5.508209032E1
8.166666667E-1	4.891258385E1	5.550100328E1
8.333333333E-1	4.891895125E1	5.594729250E1
8.500000000E-1	4.892490898E1	5.639482051E1
8.666666667E-1	4.892916529E1	5.681721279E1
8.833333333E-1	4.891903198E1	5.723759860E1
9.000000000E-1	4.892955198E1	5.765481458E1
9.166666667E-1	4.891966554E1	5.804975567E1
9.333333333E-1	4.892876257E1	5.847469487E1
9.500000000E-1	4.891386756E1	5.886222194E1
9.666666667E-1	4.892673757E1	5.927909404E1
9.833333333E-1	4.891991069E1	5.964773104E1
1.000000000E0	4.890929585E1	6.000600741E1
1.016666667E0	4.892825685E1	6.039170674E1
1.033333333E0	4.892546195E1	6.073748859E1
1.050000000E0	4.892053874E1	6.108292116E1
1.066666667E0	4.891917284E1	6.141932722E1
1.083333333E0	4.891790063E1	6.174743010E1
1.100000000E0	4.891800424E1	6.207126043E1
1.116666667E0	4.892020613E1	6.238307968E1
1.133333333E0	4.892560900E1	6.269145173E1
1.150000000E0	4.892540622E1	6.298774602E1
1.166666667E0	4.890730228E1	6.325788660E1
1.183333333E0	4.892054480E1	6.351568854E1
1.200000000E0	4.892724170E1	6.379891518E1
1.216666667E0	4.891450467E1	6.403691298E1
1.233333333E0	4.892627323E1	6.429001980E1
1.250000000E0	4.891651823E1	6.450862902E1
1.266666667E0	4.892886029E1	6.474155578E1
1.283333333E0	4.892734390E1	6.494477467E1
1.300000000E0	4.892003025E1	6.512669093E1
1.316666667E0	4.892019784E1	6.530962039E1
1.333333333E0	4.891560454E1	6.548571382E1
1.350000000E0	4.891640400E1	6.564851537E1
1.366666667E0	4.891949498E1	6.580268264E1
1.383333333E0	4.892219854E1	6.595257195E1
1.400000000E0	4.892581578E1	6.609301855E1
1.416666667E0	4.893229041E1	6.623171927E1
1.433333333E0	4.893721353E1	6.635428718E1
1.450000000E0	4.892652753E1	6.643660920E1
1.466666667E0	4.893461557E1	6.655297959E1
1.483333333E0	4.892626887E1	6.661031817E1
1.500000000E0	4.893685614E1	6.670662844E1
1.516666667E0	4.892950716E1	6.674866110E1
1.533333333E0	4.893972969E1	6.680995044E1
1.550000000E0	4.893852394E1	6.686337734E1
1.566666667E0	4.893578400E1	6.688347000E1
1.583333333E0	4.893440359E1	6.689996587E1
1.600000000E0	4.893423213E1	6.690856142E1
1.616666667E0	4.893321787E1	6.691090032E1
1.633333333E0	4.893326063E1	6.691213023E1
1.650000000E0	4.893446756E1	6.690570896E1
1.666666667E0	4.893754147E1	6.688954949E1
1.683333333E0	4.893957189E1	6.687277425E1
1.700000000E0	4.894305361E1	6.682780054E1
1.716666667E0	4.893230439E1	6.677329067E1
1.733333333E0	4.894077129E1	6.672352252E1
1.750000000E0	4.894765156E1	6.667442464E1
1.766666667E0	4.894030288E1	6.658448274E1
1.783333333E0	4.894623701E1	6.653209762E1
1.800000000E0	4.894021664E1	6.642645035E1
1.816666667E0	4.894781042E1	6.635721485E1
1.833333333E0	4.894534012E1	6.624089142E1
1.850000000E0	4.893897058E1	6.612345436E1
1.866666667E0	4.894724091E1	6.602294722E1
1.883333333E0	4.894613541E1	6.591391664E1
1.900000000E0	4.894561825E1	6.576490860E1
1.916666667E0	4.894151583E1	6.563180458E1
1.933333333E0	4.893708822E1	6.551111985E1
1.950000000E0	4.895112207E1	6.537139994E1
1.966666667E0	4.895065580E1	6.524020684E1
1.983333333E0	4.894860906E1	6.508600928E1
2.000000000E0	4.895022098E1	6.493432097E1
2.016666667E0	4.895046871E1	6.477485378E1
2.033333333E0	4.894971475E1	6.461304284E1
2.050000000E0	4.894991752E1	6.445497995E1
2.066666667E0	4.895014400E1	6.428913581E1
2.083333333E0	4.895159831E1	6.412262740E1
2.100000000E0	4.895330208E1	6.393981760E1
2.116666667E0	4.894332932E1	6.371702481E1
2.133333333E0	4.894674162E1	6.352574768E1
2.150000000E0	4.895202314E1	6.334039633E1
2.166666667E0	4.895388094E1	6.316548705E1
2.183333333E0	4.895479324E1	6.296294206E1
2.200000000E0	4.894631371E1	6.275091437E1
2.216666667E0	4.895014038E1	6.254704752E1
2.233333333E0	4.895251399E1	6.237114877E1
2.250000000E0	4.895385951E1	6.218238447E1
2.266666667E0	4.894480651E1	6.195877007E1
2.283333333E0	4.895072611E1	6.173911610E1
2.300000000E0	4.895592330E1	6.155167669E1
2.316666667E0	4.894486934E1	6.131136438E1
2.333333333E0	4.895095448E1	6.109329980E1
2.350000000E0	4.895469111E1	6.089860093E1
2.366666667E0	4.894877431E1	6.065007818E1
2.383333333E0	4.895471822E1	6.044448796E1
2.400000000E0	4.895703476E1	6.025174106E1
2.416666667E0	4.895043870E1	6.000093123E1
2.433333333E0	4.895378043E1	5.979733112E1
2.450000000E0	4.895778547E1	5.959658060E1
2.466666667E0	4.895056287E1	5.934336110E1
2.483333333E0	4.895724608E1	5.914019935E1
2.500000000E0	4.894949810E1	5.890180368E1
2.516666667E0	4.895556016E1	5.867108990E1
2.533333333E0	4.896070602E1	5.845908793E1
2.550000000E0	4.895358267E1	5.820384859E1
2.566666667E0	4.895931201E1	5.800306034E1
2.583333333E0	4.895295329E1	5.775093895E1
2.600000000E0	4.895686673E1	5.753830158E1
2.616666667E0	4.896237280E1	5.732191015E1
2.633333333E0	4.895549824E1	5.707332934E1
2.650000000E0	4.896021973E1	5.687077488E1
2.666666667E0	4.895461018E1	5.661358345E1
2.683333333E0	4.896147491E1	5.639959546E1
2.700000000E0	4.895488226E1	5.613992290E1
2.716666667E0	4.895979612E1	5.592780628E1
2.733333333E0	4.895288075E1	5.568731506E1
2.750000000E0	4.895988082E1	5.545115386E1
2.766666667E0	4.896524862E1	5.524109857E1
2.783333333E0	4.895770678E1	5.498233578E1
2.800000000E0	4.896281915E1	5.477879376E1
2.816666667E0	4.895589502E1	5.451051118E1
2.833333333E0	4.896578723E1	5.430311721E1
2.850000000E0	4.895899554E1	5.403806574E1
2.866666667E0	4.896411545E1	5.382273194E1
2.883333333E0	4.896049078E1	5.355487466E1
2.900000000E0	4.896496167E1	5.333929102E1
2.916666667E0	4.895963444E1	5.307978469E1
2.933333333E0	4.896522391E1	5.286008641E1
2.950000000E0	4.896041866E1	5.260783281E1
2.966666667E0	4.896540955E1	5.237918992E1
2.983333333E0	4.895963572E1	5.212779944E1
3.000000000E0	4.896737794E1	5.189431214E1
3.016666667E0	4.896193181E1	5.162586703E1
3.033333333E0	4.896974229E1	5.140608658E1
3.050000000E0	4.896435626E1	5.113370306E1
3.066666667E0	4.896979708E1	5.091456169E1
3.083333333E0	4.896416368E1	5.064646373E1
3.100000000E0	4.897099834E1	5.043105454E1
3.116666667E0	4.896543960E1	5.016322830E1
3.133333333E0	4.897302738E1	4.994263783E1
3.150000000E0	4.896719440E1	4.966800331E1
3.166666667E0	4.897925107E1	4.943339495E1
3.183333333E0	4.897021369E1	4.917151123E1
3.200000000E0	4.898188530E1	4.892703959E1
3.216666667E0	4.897325623E1	4.868047409E1
3.233333333E0	4.896742718E1	4.841552415E1
3.250000000E0	4.897499808E1	4.818566016E1
3.266666667E0	4.896883892E1	4.792054968E1
3.283333333E0	4.897555129E1	4.769531451E1
3.300000000E0	4.897142152E1	4.742288981E1
3.316666667E0	4.898035179E1	4.719365102E1
3.333333333E0	4.897553778E1	4.691955651E1
3.350000000E0	4.898491212E1	4.667723569E1
3.366666667E0	4.897777944E1	4.642721097E1
3.383333333E0	4.897310843E1	4.617405371E1
3.400000000E0	4.898006473E1	4.593244403E1
3.416666667E0	4.897471512E1	4.568566694E1
3.433333333E0	4.898065320E1	4.544791770E1
3.450000000E0	4.897499540E1	4.518984437E1
3.466666667E0	4.898203312E1	4.496401096E1
3.483333333E0	4.897745139E1	4.469955371E1
3.500000000E0	4.899034767E1	4.447091749E1
3.516666667E0	4.898086962E1	4.420959783E1
3.533333333E0	4.898676965E1	4.399183711E1
3.550000000E0	4.897841866E1	4.373741606E1
3.566666667E0	4.898706035E1	4.351860464E1
3.583333333E0	4.899777631E1	4.328691626E1
3.600000000E0	4.898365056E1	4.305934282E1
